title,release_date
The Haunted Castle,1897-12-30
A Very Fine Lady,1908-10-07
Living Sculptures: Film Study for Screen Artist,1903-05-22
Women Fighting,1896-03-21
The Oracle of Delphi,1903-08-14
A Funny Shave,1906-04-25
The Wandering Jew,1904-01-01
Ostriches,1896-07-12
At the Floral Ball,1900-01-01
The Cabbage-Patch Fairy,1900-01-01
The Fisherman at the Stream,1897-01-01
Bathing in a Stream,1897-01-01
Disappearing Act,1898-01-01
Wonderful Absinthe,1899-01-01
Cleopatra,1912-11-13
An Extraordinary Cab Accident,1903-11-01
Westinghouse Works,1904-01-01
The Dentures,1909-11-16
The Turn-of-the-Century Blind Man,1898-01-01
Serpentine Dance by Mme. Bob Walter,1897-01-01
The Race for the Sausage,1907-01-01
At the Club,1899-01-01
Surprise Attack on a House at Daybreak,1898-01-01
Midwife to the Upper Class,1902-01-01
Turn-of-the-Century Surgery,1900-01-01
Automated Hat-Maker and Sausage-Grinder,1900-01-01
Danse Serpentine (In a Lion's Cage),1900-08-08
The Pickaninny Dance from the âPassing Showâ,1894-05-16
The Roman Orgy,1911-11-24
"McKinley at Home, Canton, Ohio",1896-09-01
The Faithful Furniture,1910-01-01
Poultry-Yard,1896-01-01
Ali Baba and the Forty Thieves,1902-10-31
Voltige,1896-02-01
An Adventurous Automobile Trip,1905-08-19
Transport de la cloche de l'indÃ©pendance,1896-09-15
Le goÃ»ter champÃªtre,1898-11-20
The Mistletoe Bough,1904-11-01
Stenka Razin,1908-10-28
Niagara Falls,1896-09-29
Matches: An Appeal,1899-01-01
Les souverains et les invitÃ©s se rendant au sacre (escalier rouge),1896-05-26
The Puppet's Nightmare,1908-10-15
In the Border States,1910-06-13
Revolution in Russia,1906-03-31
Cinderella or The Glass Slipper,1912-11-01
Miss Dundee and Her Performing Dogs,1902-01-01
A Moonlight Serenade,1904-04-22
Ramona,1910-05-23
Return of Lifeboat,1897-10-01
At the Photographer's,1900-01-01
The Derby,1896-05-29
The Microscopic Dancer,1902-01-01
The Colonel's Shower Bath,1902-01-01
Temptations of a Great City,1911-03-06
Making an American Citizen,1912-10-30
The Sunbeam,1912-02-26
For His Son,1912-01-21
The Human Pyramid,1899-05-20
Le Voleur invisible,1909-01-01
Football,1897-06-24
On the Barricade,1907-01-01
Satan in Prison,1907-11-01
Drama at the Puppets' House,1908-11-23
A Sticky Woman,1906-08-31
Ulysses and the Giant Polyphemus,1905-01-01
Uncle Josh's Nightmare,1900-03-01
"JÃ©rusalem : porte de Jaffa, cÃ´tÃ© Est",1897-04-26
In the Bogie Man's Cave,1908-01-01
Davey Jones' Locker,1900-12-21
"Panorama View, Street Car Motor Room",1904-05-22
A Daring Daylight Burglary,1903-04-01
A Desperate Poaching Affray,1903-07-01
The Obsession,1912-10-16
Swords and Hearts,1911-08-27
The Landlady,1900-01-01
A Four-Year-Old Heroine,1907-10-01
A Mesmerian Experiment,1905-01-01
Interrupted Lovers,1896-01-01
The Prolific Magical Egg,1903-01-31
Jupiter's Thunderballs,1903-11-07
Fun in a Bakery Shop,1902-04-10
Max Takes Back His Freedom,1912-01-26
Dragoons Crossing the SÃ¢one,1896-08-23
Cherbourg : entrÃ©e des souverains russes et du prÃ©sident de la RÃ©publique sous le hall,1896-10-05
The Cock Fight,1894-01-01
The Marvellous Wreath,1903-06-12
The Magician and the Imp,1902-01-01
Crissie Sheridan,1897-10-24
The Pyramids (Overview),1897-04-19
The Mill,1909-12-16
The Dream of an Opium Fiend,1908-01-01
A Desperate Crime,1906-01-01
The Mischance of a Photographer,1908-05-23
Dreams of Toyland,1908-02-24
Pharmaceutical Hallucinations,1908-01-01
Scene from the Elevator Ascending Eiffel Tower,1900-08-21
"Bob Kick, the Mischievous Kid",1903-11-21
The Diabolical Church Window,1910-01-01
The Miser's Heart,1911-11-20
The Cleaning Man,1907-01-01
The Parish Priest's Christmas,1906-01-01
Dranem Performs The True Jiu-Jitsu,1905-01-01
"The Birth, the Life and the Death of Christ",1906-01-01
A Story Well Spun,1906-01-01
The Drunken Mattress,1906-12-29
A Lad from Old Ireland,1910-01-01
Horse Shoeing,1893-01-01
Maple Leaf Viewing,1899-11-28
Alice's Adventures in Wonderland,1910-09-09
San Francisco: Aftermath of Earthquake,1906-01-01
"Arab Cortege, Geneva",1896-05-08
"Onesime, Clockmaker",1912-11-01
Loie Fuller,1902-07-03
Miniature Theatre,1906-03-31
The Ballet Master's Dream,1903-12-09
The Colonel's Account,1907-07-23
Danse Fleur de Lotus,1897-05-18
Opium Den,1899-04-29
Driving with Greenland Dogs,1897-01-01
The Old Maid's Valentine,1900-09-30
The Life and Deeds of the Immortal VoÅ¾d KaraÄorÄe,1911-10-23
Interrupted Bathers,1902-10-22
The Coronation of King Peter I of Serbia,1904-10-11
The Morning Alarm,1896-12-31
24th Mountain Infantry: Boxing Lesson,1897-03-07
Vue prise d'une baleiniÃ¨re en marche,1900-12-15
A Trip to Jupiter,1909-08-12
Spanish Clair de Lune,1909-03-16
The Heart and the Money,1912-08-23
The Happy Microbes,1909-07-09
The Usurer,1910-08-15
Shooting Captured Insurgents,1898-07-31
Satan at Play,1907-10-25
Max Learns to Skate,1907-05-09
"FÃ©lix Mayol Performs ""White Lilacs""",1905-01-01
"FÃ©lix Mayol Performs ""Indiscreet Questions""",1905-01-01
The Truth Behind the Ape-Man,1906-01-01
The Rolling Bed,1907-11-01
Aquarium,1896-03-22
The Abduction of the Slave Women,1907-01-01
Justinian's Human Torches,1908-01-15
In the Barber Shop,1908-04-30
The Pumpkin Race,1907-05-23
Neptune's Daughters,1900-12-21
Death of Marat,1897-09-01
The Magician,1900-02-21
The Birth of a Flower,1910-11-11
Her Crowning Glory,1911-09-11
Loading a Boiler,1896-04-19
Slippery Jim,1909-11-01
Tit-for-Tat,1906-02-17
The Last Drop of Water,1911-07-26
The Burglarâs Dilemma,1912-12-16
"One Is Business, the Other Crime",1912-04-24
The Fugitive Apparitions,1904-03-04
"Carmaux, chargement du coke",1896-01-25
Danse au bivouac,1896-06-18
Burglary at Night,1904-12-24
A Victorian Lady in Her Boudoir,1896-01-01
An Untimely Intrusion,1902-01-01
How Monsieur Takes His Bath,1903-01-01
Spain,1905-01-01
The Irresistible Piano,1907-09-30
The Fur Hat,1907-01-01
"FeÌlix Mayol Performs ""The Trottins' Polka""",1905-01-01
"Dranem Performs ""Five O'Clock Tea""",1905-01-01
Legend of a Ghost,1908-05-22
Buy Your Own Cherries,1904-06-01
Amy Muller,1896-03-23
The Skipping Cheese,1907-01-01
The Mystical Flame,1903-07-24
Maniac Chase,1904-05-24
The Martyred Presidents,1901-10-19
Giant Coal Dumper,1897-07-01
The Frog,1908-03-14
Washing Day in Switzerland,1896-05-10
The Cavalier's Dream,1898-12-22
Greater Love Hath No Man,1911-06-29
A Day in the Hayfields,1904-05-22
The Christmas Angel,1904-01-01
First Prize in Cello,1907-01-01
The Girl in the Arm-Chair,1912-12-13
His First Cigar,1908-01-18
The Prophetess of Thebes,1907-12-02
The Good Luck of a 'Souse',1908-02-08
The Luny Musician,1906-01-01
"Music, Forward!",1907-12-14
The Queen of Spades,1910-11-30
Barcelona Park at Twilight,1904-09-30
Artistic Creation,1901-01-01
An Over-Incubated Baby,1901-01-01
Magic Bricks,1908-01-01
The Arrest of a Bookmaker,1895-05-01
What Happened in the Tunnel,1903-11-06
The Bewitched Trunk,1904-03-05
The Burning Stable,1896-10-31
"Clown, Dog and Balloon",1905-01-01
The Magician's Alms,1905-01-01
Bal d'enfants,1896-10-29
An Obstacle Course,1906-01-01
The Dirigible 'Homeland',1907-12-10
The Stepmother,1906-01-01
The Hierarchies of Love,1906-01-01
Steamship Arrival,1896-03-08
Arabian Gun Twirler,1899-03-01
In the Grip of the Blizzard,1899-05-20
The Fairy of the Surf,1909-01-01
The Lesser Evil,1912-04-29
A Christmas Accident,1912-12-14
The Automatic Motorist,1911-03-11
A Panicky Picnic,1909-01-10
Cordial Agreement,1912-09-19
The Boxing Kangaroo,1896-01-06
The Beautiful Leukanida,1912-04-25
Opening of the Kiel Canal,1895-06-19
Untitled Kinetoscope Comedy,1895-03-04
The Little Darling,1909-09-01
The Mystic Swing,1900-01-01
Peeping Tom,1897-05-31
How to Stop a Motorcar,1902-02-01
A Storm at Sea,1900-07-31
Water toboggan (Montagnes russes sur l'eau),1897-05-01
Metamorphoses,1912-08-16
The Independence of Romania,1912-09-01
NÃ©ron essayant des poisons sur des esclaves,1898-01-02
Negro Street Dancers,1896-03-10
The First Sleigh-Ride,1897-01-01
Joueurs de cartes arrosÃ©s,1896-10-18
The Old Maid Having Her Picture Taken,1901-03-09
Another Job for the Undertaker,1901-05-15
"The Boys Think They Have One on Foxy Grandpa, But He Fools Them",1902-05-05
"The Burlesque Suicide, No. 2",1902-04-07
Metamorphosis of a Butterfly,1904-06-18
Chaise en bascule,1900-01-01
Palace of Electricity,1900-01-01
Danse du papillon,1900-01-01
A Street Arab,1898-05-20
Ballet Libella,1897-05-18
Scullion's Dream,1908-01-24
The Gold Spider,1908-01-01
Tarantellen af 'Napoli',1903-01-01
Flower Fairy,1905-09-30
Lone Fisherman,1896-01-01
"Upside Down; or, The Human Flies",1899-09-01
King of Dollars,1905-07-01
The Curtain Pole,1909-02-15
Ocean Studies,1906-01-01
"Polin Performs ""The Anatomy of a Draftee""",1905-01-01
Cake-walk nÃ¨gre,1905-01-01
Cook & Rilly's Trained Rooster,1905-01-01
Lion Hunting,1908-11-11
A Sea Cave Near Lisbon,1896-10-29
The Launch of H.M.S. Albion,1898-01-01
Pillow Fight,1897-05-23
Dewars Scotch Whisky,1897-01-01
The MalagueÃ±a and the Bullfighter,1905-01-01
"Alice Guy Films a 'PhonoscÃ¨ne' in the Studio at Buttes-Chaumont, Paris",1907-01-01
Serpentine Dance by Lina Esbrard,1902-01-01
The Acrobatic Fly,1910-02-16
The Artist's Dilemma,1901-12-14
The Clock-Maker's Secret,1907-01-01
Japanese Actors: Wig Exercise,1900-01-21
Man's Genesis,1912-07-10
The Fugitive,1910-11-07
Black Diamond Express,1896-12-01
Trapeze Disrobing Act,1901-11-11
Tweedledum as Aviator,1911-02-16
The Pride of the Circus,1912-03-20
A Fallen Spirit,1910-05-16
Humorous Rollerskater,1896-09-14
Jongleur javanais,1896-08-09
Friends,1912-09-22
Max and the Statue,1912-12-20
The Burglar on the Roof,1898-12-01
Coolies Ã  SaÃ¯gon,1897-09-26
The Long Arm of the Law,1909-09-16
Watermelon Contest,1896-01-01
Modern Sculptors,1908-01-31
"Chicago, Grande Roue",1896-09-20
Every Man His Own Cigar Lighter,1904-02-13
If One Could See Into the Future,1911-01-01
Diving Lucy,1903-01-12
Easter Eggs,1907-07-24
Games of Youth,1907-01-01
The Gibson Goddess,1909-11-01
Barnum's Trunk,1904-03-24
The Tempest,1908-11-01
The Chinese Shadows,1908-05-23
The Pearl Fisherman,1907-11-03
The Fantastic Diver,1905-01-01
Workers Repairing a Sidewalk with Bitumen,1898-03-06
Lancement du 'VarÃ¨se' Ã  Livourne,1900-10-20
Horses Bathing,1896-10-20
Pigeons sur la place Saint-Marc,1896-06-14
Repas d'indiens,1896-08-06
Laughing Gas,1907-12-14
The Express Sculptor,1907-05-23
Female Conscripts,1908-05-23
"The Stenographer's Friend; Or, What Was Accomplished by an Edison Business Phonograph",1910-09-28
Whimsical People,1908-01-01
Slippery Jim,1910-05-16
The Springtime of Life,1912-12-16
Little Mischief,1898-08-31
Statue of Liberty,1898-09-20
What Demoralized the Barber Shop,1898-12-20
The Execution,1903-05-22
Embarquement d'un bÅuf Ã  bord d'un navire,1899-04-28
Why Mrs. Jones Got a Divorce,1900-01-01
Exit of the Twelve O'clock Mass of the Pillar of Saragossa,1897-10-01
The Rajah's Casket,1906-05-12
Charity Ball,1897-09-18
Repas en famille,1897-01-09
Japanese Sword Fencing,1897-10-20
Cupid and Psyche,1897-09-30
The Seven Castles of the Devil,1901-12-01
Robbery,1897-01-01
A Switchback Railway,1898-01-01
Is Spiritualism a Fraud?: The Medium Exposed,1906-07-01
Mr. Flip,1909-05-12
"The Cheese Mites, or Lilliputians in a London Restaurant",1901-08-01
"Londres, Piccadilly Circus",1896-08-23
The Enchanted Pond,1907-11-23
The Pigeon Fairy,1906-11-03
Butterfly Dance,1896-08-31
La dÃ©fense du drapeau,1897-08-31
Boxers in Barrels,1897-04-04
The Assassination of the Duke de Guise,1897-09-01
Canned Harmony,1912-10-09
Dream of the Moon,1905-05-02
Panorama of Machine Co. Aisle,1904-05-01
Le cigare introuvable,1897-01-01
The Launch of HMS Albion at Blackwall,1898-09-30
"Promenade du dragon Ã  Cholon, I",1900-01-17
Burning of Durland's Riding Academy,1902-02-24
Move On,1903-10-11
The Trick Cyclist,1901-09-21
Romance with a Double Bass,1911-11-16
The Last Days of Pompeii,1908-01-02
The Fairy of Spring,1902-06-16
"Belfast, exercices de sauvetage",1897-10-21
Bowery Waltz,1897-08-31
The Other Side of the Hedge,1905-01-01
How the Office Boy Saw the Ball Game,1906-07-18
Lightning Sketches,1907-07-14
Conquering the Skies,1901-04-01
"Arrest in Chinatown, San Francisco, Cal.",1897-09-30
The Dog Outwits the Kidnapper,1908-04-09
The Cigar Box,1907-10-18
Enchanted Glasses,1907-02-01
Christian Martyrs,1905-07-03
Japanese Varieties,1904-04-19
Enoch Arden,1911-06-15
Babies Rolling Eggs,1902-04-11
Chrysis Waking,1899-01-01
In the Bath,1910-01-01
The Violin Maker of Cremona,1909-06-07
Terrorists in Russia,1907-01-01
The Magnetized Man,1907-07-03
Living Flowers,1906-04-13
The Little Soldier Who Became a God,1908-11-04
Hunting the Panther,1909-09-24
Diabolical Pickpocket,1908-01-01
"Panorama des rives de la Seine Ã  Paris, III",1898-03-13
Une scÃ¨ne d'hypnotisme II,1898-10-29
"Berlin, Hallesches Thor",1896-09-06
"Washington, le prÃ©sident McKinley adressant son message au peuple",1897-03-06
"Testing Large Turbines, Westinghouse Co. Works",1904-05-01
The Invisible Men,1906-01-01
Electric Current,1906-01-01
A Visit to Peek Frean and Co.'s Biscuit Works,1906-01-01
"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900-09-23
The Voice of the Violin,1909-03-17
Andalusian Superstition,1912-08-16
Max Sets the Fashion,1912-01-05
Artheme Swallows His Clarinet,1912-01-10
A Funny Story at the Window,1908-01-01
Tilly the Tomboy Visits the Poor,1910-09-16
Max Wants to Grow,1912-12-06
Cuirassiers Ã  cheval,1896-06-03
"The Strenuous Life; or, Anti-Race Suicide",1904-12-19
A Scrap in Black and White,1903-07-08
The Heroes of the Siege of Saragossa,1905-05-23
Police Chasing Scorching Auto,1905-12-31
Kansas Saloon Smashers,1901-03-16
"Mysterious Cafe, or Mr. and Mrs. Spoopendyke Have Troubles with a Waiter",1901-05-21
"Belfast, Castle Place",1897-06-29
The Vacuum Cleaner,1908-01-01
The Bewitched Shepherd,1906-12-22
The Magician from Arabia,1906-01-01
The Village Blind Man,1907-01-08
Wonderful Mirrors,1907-12-28
The Power of Hypnosis,1908-01-01
Love that Kills,1908-01-01
ArrivÃ©e en voiture,1896-05-27
Hooligan Assists the Magician,1900-11-01
Voltige Ã  cheval Ã  Prague,1899-01-01
How They Rob Men in Chicago,1900-05-21
Capsize of Lifeboat,1897-09-30
Leander Sisters,1897-09-30
"Mount Tamalpais R.R., No. 1",1898-03-01
"New Brooklyn to New York via Brooklyn Bridge, No. 2",1899-05-20
Foxy Grandpa and Polly in a Little Hilarity,1902-05-05
The Girl from Arles,1908-08-09
"Two AM; or, The Husband's Return",1896-08-01
Scene from the Coronation of the Czar of Russia,1896-05-25
High Diving Scene,1901-11-09
The Gordon Sisters Boxing,1901-04-27
The Departure of a Great Old Man,1912-05-08
Princess Rajah Dance,1904-01-01
"Le Caire, un enterrement",1897-03-14
"JÃ©rusalem, le saint sÃ©pulcre",1897-04-27
Embarquement,1896-08-16
The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach,1905-07-27
Don Quichotte,1903-10-01
99Ã¨me rÃ©giment d'infanterie : assaut du portique,1897-06-06
M. le PrÃ©sident de la RÃ©publique sur la JetÃ©e Promenade,1902-01-01
Drama in the Air,1904-08-26
MÃ©tempsycose,1907-01-01
Undressing Extraordinary,1901-01-01
The Waif and the Wizard,1901-09-01
The Deonzo Brothers,1901-01-01
The Magic Sword,1901-01-01
"Tetherball, or Do-Do",1898-01-01
Sweet Dreams Intermingled With Nightmares,1909-07-26
"Head of Colonial Procession, Canadians, etc",1897-01-01
Comic Costume Race,1896-01-01
The Troubadour,1906-12-01
Parsifal,1912-11-12
Le bon invalide et les enfants,1908-01-01
The Devil's Dance,1904-07-03
The Mills in Joy and Sorrow,1912-05-23
Fantastic Dining Room,1899-01-01
L'hÃ´tel du silence,1908-01-01
Japanese Fantasy,1909-03-23
The Romance of Max,1912-10-17
"Sutro Baths, No. 2",1897-08-31
Buffalo Stockyards,1897-07-20
S.S. 'Coptic' Sailing Away,1897-09-30
"First Avenue, Seattle, Washington, No. 8",1897-10-01
"Lick Observatory, Mt. Hamilton, Cal.",1897-10-20
Why Mr. Nation Wants a Divorce,1901-03-09
"Bruxelles, GrandâPlace",1897-07-13
Alger : place du gouvernement,1896-12-18
Descent of the Great Pyramid,1897-04-19
"Dresde, vieux quartier Ã  l'Exposition",1896-08-23
Lyon : sauvetage de lapins,1896-11-08
"Ãcole de cavalerie de Saumur, le carrousel militaire: Changement de main",1897-10-28
Danse indienne,1898-09-02
Venice Showing Gondolas,1896-06-18
"Cheval de haute Ã©cole, II",1897-04-18
"Toulouse, rue Alsace-Lorraine",1896-07-12
Tigers at the Zoo,1896-08-15
Buffalo Bill: peaux rouges,1897-10-29
Kiel: lancement du 'FÃ¼rst-Bismarck',1897-10-28
The Turn-of-the-Century Barber,1896-10-30
